CYP	Drug Identifier	Isoform	CYP-Isoform
2C9	testosterone	2	2C9-2
3A4	testosterone	1	3A4-1
3A5	testosterone	1	3A5-1
3A5	testosterone	2	3A5-2
3A7	testosterone	1	3A7-1
3A7	testosterone	2	3A7-2
1A1	acriflavinium chloride	1	1A1-1
1A1	acriflavinium chloride	2	1A1-2
1A1	acriflavinium chloride	3	1A1-3
1A2	acriflavinium chloride	1	1A2-1
1A2	acriflavinium chloride	2	1A2-2
1A1	alum	1	1A1-1
1A1	alum	2	1A1-2
1A1	alum	3	1A1-3
1A1	amiodarone	1	1A1-1
1A1	amiodarone	2	1A1-2
1A1	amiodarone	3	1A1-3
1A2	amiodarone	1	1A2-1
1A2	amiodarone	2	1A2-2
2C19	amiodarone	1	2C19-1
2C8	amiodarone	1	2C8-1
2C8	amiodarone	2	2C8-2
2D6	amiodarone	1	2D6-1
2D6	amiodarone	2	2D6-2
3A4	amiodarone	1	3A4-1
1A1	amodiaquine	1	1A1-1
1A1	amodiaquine	2	1A1-2
1A1	amodiaquine	3	1A1-3
2C8	amodiaquine	1	2C8-1
2C8	amodiaquine	2	2C8-2
1A1	benzydamine	1	1A1-1
1A1	benzydamine	2	1A1-2
1A1	benzydamine	3	1A1-3
1A2	benzydamine	1	1A2-1
1A2	benzydamine	2	1A2-2
2C19	benzydamine	1	2C19-1
2D6	benzydamine	1	2D6-1
2D6	benzydamine	2	2D6-2
2E1	benzydamine	1	2E1-1
3A4	benzydamine	1	3A4-1
1A1	capsaicin	1	1A1-1
1A1	capsaicin	2	1A1-2
1A1	capsaicin	3	1A1-3
1A2	capsaicin	1	1A2-1
1A2	capsaicin	2	1A2-2
2B6	capsaicin	1	2B6-1
2B6	capsaicin	2	2B6-2
2C19	capsaicin	1	2C19-1
2C8	capsaicin	1	2C8-1
2C8	capsaicin	2	2C8-2
2C9	capsaicin	1	2C9-1
2C9	capsaicin	2	2C9-2
2D6	capsaicin	1	2D6-1
2D6	capsaicin	2	2D6-2
2E1	capsaicin	1	2E1-1
3A4	capsaicin	1	3A4-1
1A1	chloroquine	1	1A1-1
1A1	chloroquine	2	1A1-2
1A1	chloroquine	3	1A1-3
2C8	chloroquine	1	2C8-1
2C8	chloroquine	2	2C8-2
2D6	chloroquine	1	2D6-1
2D6	chloroquine	2	2D6-2
3A4	chloroquine	1	3A4-1
3A5	chloroquine	1	3A5-1
3A5	chloroquine	2	3A5-2
1A1	clenbuterol	1	1A1-1
1A1	clenbuterol	2	1A1-2
1A1	clenbuterol	3	1A1-3
1A2	clenbuterol	1	1A2-1
1A2	clenbuterol	2	1A2-2
1A1	dacarbazine	1	1A1-1
1A1	dacarbazine	2	1A1-2
1A1	dacarbazine	3	1A1-3
1A2	dacarbazine	1	1A2-1
1A2	dacarbazine	2	1A2-2
2E1	dacarbazine	1	2E1-1
1A1	daunorubicin	1	1A1-1
1A1	daunorubicin	2	1A1-2
1A1	daunorubicin	3	1A1-3
1A2	daunorubicin	1	1A2-1
1A2	daunorubicin	2	1A2-2
3A4	daunorubicin	1	3A4-1
1A1	debrisoquine	1	1A1-1
1A1	debrisoquine	2	1A1-2
1A1	debrisoquine	3	1A1-3
2D6	debrisoquine	1	2D6-1
2D6	debrisoquine	2	2D6-2
1A1	decamethrin	1	1A1-1
1A1	decamethrin	2	1A1-2
1A1	decamethrin	3	1A1-3
1A2	decamethrin	1	1A2-1
1A2	decamethrin	2	1A2-2
1A1	diclofenac	1	1A1-1
1A1	diclofenac	2	1A1-2
1A1	diclofenac	3	1A1-3
1A2	diclofenac	1	1A2-1
1A2	diclofenac	2	1A2-2
2B6	diclofenac	1	2B6-1
2B6	diclofenac	2	2B6-2
2C19	diclofenac	1	2C19-1
2C8	diclofenac	1	2C8-1
2C8	diclofenac	2	2C8-2
2C9	diclofenac	1	2C9-1
2C9	diclofenac	2	2C9-2
2D6	diclofenac	1	2D6-1
2D6	diclofenac	2	2D6-2
3A4	diclofenac	1	3A4-1
1A1	dronabinol	1	1A1-1
1A1	dronabinol	2	1A1-2
1A1	dronabinol	3	1A1-3
2A6	dronabinol	1	2A6-1
2C19	dronabinol	1	2C19-1
2C9	dronabinol	1	2C9-1
2C9	dronabinol	2	2C9-2
1A1	erythromycin	1	1A1-1
1A1	erythromycin	2	1A1-2
1A1	erythromycin	3	1A1-3
1A2	erythromycin	1	1A2-1
1A2	erythromycin	2	1A2-2
2B6	erythromycin	1	2B6-1
2B6	erythromycin	2	2B6-2
3A4	erythromycin	1	3A4-1
3A5	erythromycin	1	3A5-1
3A5	erythromycin	2	3A5-2
3A7	erythromycin	1	3A7-1
3A7	erythromycin	2	3A7-2
1A1	estradiol	1	1A1-1
1A1	estradiol	2	1A1-2
1A1	estradiol	3	1A1-3
1A2	estradiol	1	1A2-1
1A2	estradiol	2	1A2-2
2C19	estradiol	1	2C19-1
2C8	estradiol	1	2C8-1
2C8	estradiol	2	2C8-2
2C9	estradiol	1	2C9-1
2C9	estradiol	2	2C9-2
3A4	estradiol	1	3A4-1
3A5	estradiol	1	3A5-1
3A5	estradiol	2	3A5-2
3A7	estradiol	1	3A7-1
3A7	estradiol	2	3A7-2
1A1	estrone	1	1A1-1
1A1	estrone	2	1A1-2
1A1	estrone	3	1A1-3
1A2	estrone	1	1A2-1
1A2	estrone	2	1A2-2
2B6	estrone	1	2B6-1
2B6	estrone	2	2B6-2
2C9	estrone	1	2C9-1
2C9	estrone	2	2C9-2
2E1	estrone	1	2E1-1
3A4	estrone	1	3A4-1
3A5	estrone	1	3A5-1
3A5	estrone	2	3A5-2
1A1	etacrynic acid	1	1A1-1
1A1	etacrynic acid	2	1A1-2
1A1	etacrynic acid	3	1A1-3
1A1	ethinylestradiol	1	1A1-1
1A1	ethinylestradiol	2	1A1-2
1A1	ethinylestradiol	3	1A1-3
1A2	ethinylestradiol	1	1A2-1
1A2	ethinylestradiol	2	1A2-2
2C19	ethinylestradiol	1	2C19-1
2C9	ethinylestradiol	1	2C9-1
2C9	ethinylestradiol	2	2C9-2
3A4	ethinylestradiol	1	3A4-1
3A5	ethinylestradiol	1	3A5-1
3A5	ethinylestradiol	2	3A5-2
3A7	ethinylestradiol	1	3A7-1
3A7	ethinylestradiol	2	3A7-2
1A1	flunarizine	1	1A1-1
1A1	flunarizine	2	1A1-2
1A1	flunarizine	3	1A1-3
1A2	flunarizine	1	1A2-1
1A2	flunarizine	2	1A2-2
2A6	flunarizine	1	2A6-1
2C9	flunarizine	1	2C9-1
2C9	flunarizine	2	2C9-2
2D6	flunarizine	1	2D6-1
2D6	flunarizine	2	2D6-2
1A1	flutamide	1	1A1-1
1A1	flutamide	2	1A1-2
1A1	flutamide	3	1A1-3
1A2	flutamide	1	1A2-1
1A2	flutamide	2	1A2-2
2C19	flutamide	1	2C19-1
3A4	flutamide	1	3A4-1
3A5	flutamide	1	3A5-1
3A5	flutamide	2	3A5-2
1A1	fluvastatin	1	1A1-1
1A1	fluvastatin	2	1A1-2
1A1	fluvastatin	3	1A1-3
2C8	fluvastatin	1	2C8-1
2C8	fluvastatin	2	2C8-2
2C9	fluvastatin	1	2C9-1
2C9	fluvastatin	2	2C9-2
2D6	fluvastatin	1	2D6-1
2D6	fluvastatin	2	2D6-2
3A4	fluvastatin	1	3A4-1
1A1	granisetron	1	1A1-1
1A1	granisetron	2	1A1-2
1A1	granisetron	3	1A1-3
1A2	granisetron	1	1A2-1
1A2	granisetron	2	1A2-2
2D6	granisetron	1	2D6-1
2D6	granisetron	2	2D6-2
3A4	granisetron	1	3A4-1
3A5	granisetron	1	3A5-1
3A5	granisetron	2	3A5-2
1A1	haloperidol	1	1A1-1
1A1	haloperidol	2	1A1-2
1A1	haloperidol	3	1A1-3
1A2	haloperidol	1	1A2-1
1A2	haloperidol	2	1A2-2
2C19	haloperidol	1	2C19-1
2C9	haloperidol	1	2C9-1
2C9	haloperidol	2	2C9-2
2D6	haloperidol	1	2D6-1
2D6	haloperidol	2	2D6-2
3A4	haloperidol	1	3A4-1
3A5	haloperidol	1	3A5-1
3A5	haloperidol	2	3A5-2
3A7	haloperidol	1	3A7-1
3A7	haloperidol	2	3A7-2
1A1	ipriflavone	1	1A1-1
1A1	ipriflavone	2	1A1-2
1A1	ipriflavone	3	1A1-3
1A2	ipriflavone	1	1A2-1
1A2	ipriflavone	2	1A2-2
3A4	ipriflavone	1	3A4-1
1A1	levothyroxine sodium	1	1A1-1
1A1	levothyroxine sodium	2	1A1-2
1A1	levothyroxine sodium	3	1A1-3
1A2	levothyroxine sodium	1	1A2-1
1A2	levothyroxine sodium	2	1A2-2
3A4	levothyroxine sodium	1	3A4-1
1A1	melatonin	1	1A1-1
1A1	melatonin	2	1A1-2
1A1	melatonin	3	1A1-3
1A2	melatonin	1	1A2-1
1A2	melatonin	2	1A2-2
2C19	melatonin	1	2C19-1
1A1	menadione	1	1A1-1
1A1	menadione	2	1A1-2
1A1	menadione	3	1A1-3
1A2	menadione	1	1A2-1
1A2	menadione	2	1A2-2
2E1	menadione	1	2E1-1
1A1	mercaptopurine	1	1A1-1
1A1	mercaptopurine	2	1A1-2
1A1	mercaptopurine	3	1A1-3
1A1	nicotine	1	1A1-1
1A1	nicotine	2	1A1-2
1A1	nicotine	3	1A1-3
1A2	nicotine	1	1A2-1
1A2	nicotine	2	1A2-2
2A6	nicotine	1	2A6-1
2B6	nicotine	1	2B6-1
2B6	nicotine	2	2B6-2
2C19	nicotine	1	2C19-1
2C8	nicotine	1	2C8-1
2C8	nicotine	2	2C8-2
2C9	nicotine	1	2C9-1
2C9	nicotine	2	2C9-2
2D6	nicotine	1	2D6-1
2D6	nicotine	2	2D6-2
2E1	nicotine	1	2E1-1
3A4	nicotine	1	3A4-1
1A1	nitrofurantoin	1	1A1-1
1A1	nitrofurantoin	2	1A1-2
1A1	nitrofurantoin	3	1A1-3
1A1	omeprazole	1	1A1-1
1A1	omeprazole	2	1A1-2
1A1	omeprazole	3	1A1-3
1A2	omeprazole	1	1A2-1
1A2	omeprazole	2	1A2-2
2C19	omeprazole	1	2C19-1
2C8	omeprazole	1	2C8-1
2C8	omeprazole	2	2C8-2
2C9	omeprazole	1	2C9-1
2C9	omeprazole	2	2C9-2
3A4	omeprazole	1	3A4-1
3A5	omeprazole	1	3A5-1
3A5	omeprazole	2	3A5-2
1A1	oxaliplatin	1	1A1-1
1A1	oxaliplatin	2	1A1-2
1A1	oxaliplatin	3	1A1-3
1A2	oxaliplatin	1	1A2-1
1A2	oxaliplatin	2	1A2-2
2E1	oxaliplatin	1	2E1-1
1A1	paracetamol	1	1A1-1
1A1	paracetamol	2	1A1-2
1A1	paracetamol	3	1A1-3
1A2	paracetamol	1	1A2-1
1A2	paracetamol	2	1A2-2
2A6	paracetamol	1	2A6-1
2C8	paracetamol	1	2C8-1
2C8	paracetamol	2	2C8-2
2C9	paracetamol	1	2C9-1
2C9	paracetamol	2	2C9-2
2D6	paracetamol	1	2D6-1
2D6	paracetamol	2	2D6-2
2E1	paracetamol	1	2E1-1
3A4	paracetamol	1	3A4-1
3A5	paracetamol	1	3A5-1
3A5	paracetamol	2	3A5-2
1A1	perazine	1	1A1-1
1A1	perazine	2	1A1-2
1A1	perazine	3	1A1-3
1A2	perazine	1	1A2-1
1A2	perazine	2	1A2-2
2A6	perazine	1	2A6-1
2C19	perazine	1	2C19-1
2C9	perazine	1	2C9-1
2C9	perazine	2	2C9-2
2D6	perazine	1	2D6-1
2D6	perazine	2	2D6-2
2E1	perazine	1	2E1-1
3A4	perazine	1	3A4-1
1A1	phenacetin	1	1A1-1
1A1	phenacetin	2	1A1-2
1A1	phenacetin	3	1A1-3
1A2	phenacetin	1	1A2-1
1A2	phenacetin	2	1A2-2
2A6	phenacetin	1	2A6-1
2C19	phenacetin	1	2C19-1
2C9	phenacetin	1	2C9-1
2C9	phenacetin	2	2C9-2
2D6	phenacetin	1	2D6-1
2D6	phenacetin	2	2D6-2
2E1	phenacetin	1	2E1-1
3A4	phenacetin	1	3A4-1
1A1	prazosin	1	1A1-1
1A1	prazosin	2	1A1-2
1A1	prazosin	3	1A1-3
1A1	procarbazine	1	1A1-1
1A1	procarbazine	2	1A1-2
1A1	procarbazine	3	1A1-3
1A2	procarbazine	1	1A2-1
1A2	procarbazine	2	1A2-2
1A1	progesterone	1	1A1-1
1A1	progesterone	2	1A1-2
1A1	progesterone	3	1A1-3
1A2	progesterone	1	1A2-1
1A2	progesterone	2	1A2-2
2A6	progesterone	1	2A6-1
2C19	progesterone	1	2C19-1
2C8	progesterone	1	2C8-1
2C8	progesterone	2	2C8-2
2C9	progesterone	1	2C9-1
2C9	progesterone	2	2C9-2
2D6	progesterone	1	2D6-1
2D6	progesterone	2	2D6-2
3A4	progesterone	1	3A4-1
3A5	progesterone	1	3A5-1
3A5	progesterone	2	3A5-2
3A7	progesterone	1	3A7-1
3A7	progesterone	2	3A7-2
1A1	raltegravir	1	1A1-1
1A1	raltegravir	2	1A1-2
1A1	raltegravir	3	1A1-3
1A1	retigabine	1	1A1-1
1A1	retigabine	2	1A1-2
1A1	retigabine	3	1A1-3
1A1	riboflavin (vit b2)	1	1A1-1
1A1	riboflavin (vit b2)	2	1A1-2
1A1	riboflavin (vit b2)	3	1A1-3
1A1	riluzole	1	1A1-1
1A1	riluzole	2	1A1-2
1A1	riluzole	3	1A1-3
1A2	riluzole	1	1A2-1
1A2	riluzole	2	1A2-2
1A1	tamoxifen	1	1A1-1
1A1	tamoxifen	2	1A1-2
1A1	tamoxifen	3	1A1-3
2A6	tamoxifen	1	2A6-1
2B6	tamoxifen	1	2B6-1
2B6	tamoxifen	2	2B6-2
2C19	tamoxifen	1	2C19-1
2C9	tamoxifen	1	2C9-1
2C9	tamoxifen	2	2C9-2
2D6	tamoxifen	1	2D6-1
2D6	tamoxifen	2	2D6-2
2E1	tamoxifen	1	2E1-1
3A4	tamoxifen	1	3A4-1
3A5	tamoxifen	1	3A5-1
3A5	tamoxifen	2	3A5-2
3A7	tamoxifen	1	3A7-1
3A7	tamoxifen	2	3A7-2
1A1	theophylline	1	1A1-1
1A1	theophylline	2	1A1-2
1A1	theophylline	3	1A1-3
1A2	theophylline	1	1A2-1
1A2	theophylline	2	1A2-2
2C8	theophylline	1	2C8-1
2C8	theophylline	2	2C8-2
2C9	theophylline	1	2C9-1
2C9	theophylline	2	2C9-2
2D6	theophylline	1	2D6-1
2D6	theophylline	2	2D6-2
2E1	theophylline	1	2E1-1
3A4	theophylline	1	3A4-1
1A1	toremifene	1	1A1-1
1A1	toremifene	2	1A1-2
1A1	toremifene	3	1A1-3
1A2	toremifene	1	1A2-1
1A2	toremifene	2	1A2-2
3A4	toremifene	1	3A4-1
1A1	troglitazone	1	1A1-1
1A1	troglitazone	2	1A1-2
1A1	troglitazone	3	1A1-3
2C19	troglitazone	1	2C19-1
2C8	troglitazone	1	2C8-1
2C8	troglitazone	2	2C8-2
2C9	troglitazone	1	2C9-1
2C9	troglitazone	2	2C9-2
3A4	troglitazone	1	3A4-1
1A1	zotepine	1	1A1-1
1A1	zotepine	2	1A1-2
1A1	zotepine	3	1A1-3
1A2	zotepine	1	1A2-1
1A2	zotepine	2	1A2-2
2B6	zotepine	1	2B6-1
2B6	zotepine	2	2B6-2
2C19	zotepine	1	2C19-1
2D6	zotepine	1	2D6-1
2D6	zotepine	2	2D6-2
3A4	zotepine	1	3A4-1
3A5	zotepine	1	3A5-1
3A5	zotepine	2	3A5-2
1A2	2-(4-chlorphenoxy)-ethanol	1	1A2-1
1A2	2-(4-chlorphenoxy)-ethanol	2	1A2-2
2E1	2-(4-chlorphenoxy)-ethanol	1	2E1-1
3A4	2-(4-chlorphenoxy)-ethanol	1	3A4-1
1A2	albendazole	1	1A2-1
1A2	albendazole	2	1A2-2
3A4	albendazole	1	3A4-1
1A2	alosetron	1	1A2-1
1A2	alosetron	2	1A2-2
2C9	alosetron	1	2C9-1
2C9	alosetron	2	2C9-2
3A4	alosetron	1	3A4-1
1A2	aminophylline	1	1A2-1
1A2	aminophylline	2	1A2-2
2E1	aminophylline	1	2E1-1
3A4	aminophylline	1	3A4-1
1A2	amitriptyline	1	1A2-1
1A2	amitriptyline	2	1A2-2
2B6	amitriptyline	1	2B6-1
2B6	amitriptyline	2	2B6-2
2C19	amitriptyline	1	2C19-1
2C8	amitriptyline	1	2C8-1
2C8	amitriptyline	2	2C8-2
2C9	amitriptyline	1	2C9-1
2C9	amitriptyline	2	2C9-2
2D6	amitriptyline	1	2D6-1
2D6	amitriptyline	2	2D6-2
2E1	amitriptyline	1	2E1-1
3A4	amitriptyline	1	3A4-1
3A5	amitriptyline	1	3A5-1
3A5	amitriptyline	2	3A5-2
1A2	anagrelide	1	1A2-1
1A2	anagrelide	2	1A2-2
1A2	aprepitant	1	1A2-1
1A2	aprepitant	2	1A2-2
2C19	aprepitant	1	2C19-1
3A4	aprepitant	1	3A4-1
3A5	aprepitant	1	3A5-1
3A5	aprepitant	2	3A5-2
3A7	aprepitant	1	3A7-1
3A7	aprepitant	2	3A7-2
1A2	azelastine	1	1A2-1
1A2	azelastine	2	1A2-2
2C19	azelastine	1	2C19-1
2D6	azelastine	1	2D6-1
2D6	azelastine	2	2D6-2
3A4	azelastine	1	3A4-1
1A2	betaxolol	1	1A2-1
1A2	betaxolol	2	1A2-2
2D6	betaxolol	1	2D6-1
2D6	betaxolol	2	2D6-2
1A2	bortezomib	1	1A2-1
1A2	bortezomib	2	1A2-2
2C19	bortezomib	1	2C19-1
2C9	bortezomib	1	2C9-1
2C9	bortezomib	2	2C9-2
2D6	bortezomib	1	2D6-1
2D6	bortezomib	2	2D6-2
3A4	bortezomib	1	3A4-1
1A2	bromazepam	1	1A2-1
1A2	bromazepam	2	1A2-2
2C19	bromazepam	1	2C19-1
3A4	bromazepam	1	3A4-1
1A2	bupivacaine	1	1A2-1
1A2	bupivacaine	2	1A2-2
2C19	bupivacaine	1	2C19-1
2D6	bupivacaine	1	2D6-1
2D6	bupivacaine	2	2D6-2
3A4	bupivacaine	1	3A4-1
1A2	bupropion	1	1A2-1
1A2	bupropion	2	1A2-2
2A6	bupropion	1	2A6-1
2B6	bupropion	1	2B6-1
2B6	bupropion	2	2B6-2
2C8	bupropion	1	2C8-1
2C8	bupropion	2	2C8-2
2C9	bupropion	1	2C9-1
2C9	bupropion	2	2C9-2
2D6	bupropion	1	2D6-1
2D6	bupropion	2	2D6-2
2E1	bupropion	1	2E1-1
3A4	bupropion	1	3A4-1
1A2	caffeine	1	1A2-1
1A2	caffeine	2	1A2-2
2C8	caffeine	1	2C8-1
2C8	caffeine	2	2C8-2
2C9	caffeine	1	2C9-1
2C9	caffeine	2	2C9-2
2D6	caffeine	1	2D6-1
2D6	caffeine	2	2D6-2
2E1	caffeine	1	2E1-1
3A4	caffeine	1	3A4-1
3A5	caffeine	1	3A5-1
3A5	caffeine	2	3A5-2
3A7	caffeine	1	3A7-1
3A7	caffeine	2	3A7-2
1A2	carbamazepine	1	1A2-1
1A2	carbamazepine	2	1A2-2
2B6	carbamazepine	1	2B6-1
2B6	carbamazepine	2	2B6-2
2C8	carbamazepine	1	2C8-1
2C8	carbamazepine	2	2C8-2
3A4	carbamazepine	1	3A4-1
3A5	carbamazepine	1	3A5-1
3A5	carbamazepine	2	3A5-2
3A7	carbamazepine	1	3A7-1
3A7	carbamazepine	2	3A7-2
1A2	carmustine	1	1A2-1
1A2	carmustine	2	1A2-2
1A2	carvedilol	1	1A2-1
1A2	carvedilol	2	1A2-2
2C9	carvedilol	1	2C9-1
2C9	carvedilol	2	2C9-2
2D6	carvedilol	1	2D6-1
2D6	carvedilol	2	2D6-2
2E1	carvedilol	1	2E1-1
3A4	carvedilol	1	3A4-1
1A2	chinin	1	1A2-1
1A2	chinin	2	1A2-2
2C19	chinin	1	2C19-1
3A4	chinin	1	3A4-1
3A5	chinin	1	3A5-1
3A5	chinin	2	3A5-2
3A7	chinin	1	3A7-1
3A7	chinin	2	3A7-2
1A2	chlorpromazine	1	1A2-1
1A2	chlorpromazine	2	1A2-2
2D6	chlorpromazine	1	2D6-1
2D6	chlorpromazine	2	2D6-2
3A4	chlorpromazine	1	3A4-1
1A2	chlorzoxazone	1	1A2-1
1A2	chlorzoxazone	2	1A2-2
2A6	chlorzoxazone	1	2A6-1
2D6	chlorzoxazone	1	2D6-1
2D6	chlorzoxazone	2	2D6-2
2E1	chlorzoxazone	1	2E1-1
3A4	chlorzoxazone	1	3A4-1
1A2	cisapride	1	1A2-1
1A2	cisapride	2	1A2-2
2A6	cisapride	1	2A6-1
2B6	cisapride	1	2B6-1
2B6	cisapride	2	2B6-2
2C19	cisapride	1	2C19-1
2C8	cisapride	1	2C8-1
2C8	cisapride	2	2C8-2
2C9	cisapride	1	2C9-1
2C9	cisapride	2	2C9-2
3A4	cisapride	1	3A4-1
3A5	cisapride	1	3A5-1
3A5	cisapride	2	3A5-2
3A7	cisapride	1	3A7-1
3A7	cisapride	2	3A7-2
1A2	clomipramine	1	1A2-1
1A2	clomipramine	2	1A2-2
2C19	clomipramine	1	2C19-1
2D6	clomipramine	1	2D6-1
2D6	clomipramine	2	2D6-2
3A4	clomipramine	1	3A4-1
1A2	clopidogrel	1	1A2-1
1A2	clopidogrel	2	1A2-2
2B6	clopidogrel	1	2B6-1
2B6	clopidogrel	2	2B6-2
2C19	clopidogrel	1	2C19-1
2C9	clopidogrel	1	2C9-1
2C9	clopidogrel	2	2C9-2
3A4	clopidogrel	1	3A4-1
3A5	clopidogrel	1	3A5-1
3A5	clopidogrel	2	3A5-2
1A2	clozapine	1	1A2-1
1A2	clozapine	2	1A2-2
2A6	clozapine	1	2A6-1
2C19	clozapine	1	2C19-1
2C8	clozapine	1	2C8-1
2C8	clozapine	2	2C8-2
2C9	clozapine	1	2C9-1
2C9	clozapine	2	2C9-2
2D6	clozapine	1	2D6-1
2D6	clozapine	2	2D6-2
3A4	clozapine	1	3A4-1
1A2	cyamemazine	1	1A2-1
1A2	cyamemazine	2	1A2-2
2C8	cyamemazine	1	2C8-1
2C8	cyamemazine	2	2C8-2
2C9	cyamemazine	1	2C9-1
2C9	cyamemazine	2	2C9-2
3A4	cyamemazine	1	3A4-1
1A2	cyclobenzaprine	1	1A2-1
1A2	cyclobenzaprine	2	1A2-2
2D6	cyclobenzaprine	1	2D6-1
2D6	cyclobenzaprine	2	2D6-2
3A4	cyclobenzaprine	1	3A4-1
1A2	cypermethrin	1	1A2-1
1A2	cypermethrin	2	1A2-2
1A2	deanol	1	1A2-1
1A2	deanol	2	1A2-2
2D6	deanol	1	2D6-1
2D6	deanol	2	2D6-2
1A2	desipramine	1	1A2-1
1A2	desipramine	2	1A2-2
2C19	desipramine	1	2C19-1
2D6	desipramine	1	2D6-1
2D6	desipramine	2	2D6-2
1A2	dexfenfluramine	1	1A2-1
1A2	dexfenfluramine	2	1A2-2
2D6	dexfenfluramine	1	2D6-1
2D6	dexfenfluramine	2	2D6-2
1A2	diazepam	1	1A2-1
1A2	diazepam	2	1A2-2
2B6	diazepam	1	2B6-1
2B6	diazepam	2	2B6-2
2C19	diazepam	1	2C19-1
2C8	diazepam	1	2C8-1
2C8	diazepam	2	2C8-2
2C9	diazepam	1	2C9-1
2C9	diazepam	2	2C9-2
3A4	diazepam	1	3A4-1
3A5	diazepam	1	3A5-1
3A5	diazepam	2	3A5-2
3A7	diazepam	1	3A7-1
3A7	diazepam	2	3A7-2
1A2	diclofenac-misoprostol	1	1A2-1
1A2	diclofenac-misoprostol	2	1A2-2
2C19	diclofenac-misoprostol	1	2C19-1
2C8	diclofenac-misoprostol	1	2C8-1
2C8	diclofenac-misoprostol	2	2C8-2
2C9	diclofenac-misoprostol	1	2C9-1
2C9	diclofenac-misoprostol	2	2C9-2
2D6	diclofenac-misoprostol	1	2D6-1
2D6	diclofenac-misoprostol	2	2D6-2
3A4	diclofenac-misoprostol	1	3A4-1
1A2	diethyltoluamide	1	1A2-1
1A2	diethyltoluamide	2	1A2-2
2A6	diethyltoluamide	1	2A6-1
2B6	diethyltoluamide	1	2B6-1
2B6	diethyltoluamide	2	2B6-2
2C19	diethyltoluamide	1	2C19-1
2D6	diethyltoluamide	1	2D6-1
2D6	diethyltoluamide	2	2D6-2
2E1	diethyltoluamide	1	2E1-1
3A4	diethyltoluamide	1	3A4-1
3A5	diethyltoluamide	1	3A5-1
3A5	diethyltoluamide	2	3A5-2
1A2	dihydralazine	1	1A2-1
1A2	dihydralazine	2	1A2-2
3A4	dihydralazine	1	3A4-1
1A2	disulfiram	1	1A2-1
1A2	disulfiram	2	1A2-2
2A6	disulfiram	1	2A6-1
2B6	disulfiram	1	2B6-1
2B6	disulfiram	2	2B6-2
2D6	disulfiram	1	2D6-1
2D6	disulfiram	2	2D6-2
2E1	disulfiram	1	2E1-1
3A4	disulfiram	1	3A4-1
3A5	disulfiram	1	3A5-1
3A5	disulfiram	2	3A5-2
1A2	domperidone	1	1A2-1
1A2	domperidone	2	1A2-2
2B6	domperidone	1	2B6-1
2B6	domperidone	2	2B6-2
2C8	domperidone	1	2C8-1
2C8	domperidone	2	2C8-2
2D6	domperidone	1	2D6-1
2D6	domperidone	2	2D6-2
3A4	domperidone	1	3A4-1
3A5	domperidone	1	3A5-1
3A5	domperidone	2	3A5-2
3A7	domperidone	1	3A7-1
3A7	domperidone	2	3A7-2
1A2	dopamine	1	1A2-1
1A2	dopamine	2	1A2-2
2C19	dopamine	1	2C19-1
2C9	dopamine	1	2C9-1
2C9	dopamine	2	2C9-2
2D6	dopamine	1	2D6-1
